City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,crestview,30.7621,-86.5705,23.38,52,100,1.79,US,1678567979
85,mirador,-6.3708,-44.3631,25.18,90,100,0.53,BR,1678567979
86,carnarvon,-24.8667,113.6333,24.01,76,0,10.47,AU,1678567980
87,vadso,70.0744,29.7487,-6.91,63,16,8.75,NO,1678567704
88,coihaique,-45.5752,-72.0662,17.34,94,100,1.54,CL,1678567691
89,tasiilaq,65.6145,-37.6368,-10.91,67,0,2.12,GL,1678567980
90,rio gallegos,-51.6226,-69.2181,13.03,35,0,10.8,AR,1678567981
91,thompson,55.7435,-97.8558,-6.91,45,20,2.57,CA,1678567887
92,avarua,-21.2078,-159.775,26.03,94,100,6.69,CK,1678567982
93,sur,22.5667,59.5289,25.52,51,99,2.38,OM,1678567982
94,cabo san lucas,22.8909,-109.9124,32.88,52,0,4.46,MX,1678567983
95,baijiantan,45.6333,85.1833,4.04,27,100,2.68,CN,1678567983
96,beringovskiy,63.05,179.3167,-15.28,89,90,5.6,RU,1678567984
97,tumaco,1.7986,-78.8156,26.15,84,100,1.59,CO,1678567984
98,gerash,27.6652,54.1371,15.08,45,0,1.43,IR,1678567985
99,adrar,20.5022,-10.0711,26.69,9,0,5.56,MR,1678567985
100,san nicolas,18.1725,120.5953,20.94,73,9,2.25,PH,1678567986
101,qaqortoq,60.7167,-46.0333,-5.64,77,3,2.86,GL,1678567986
102,vestmannaeyjar,63.4427,-20.2734,-7.48,50,59,5.07,IS,1678567987
103,tiksi,71.6872,128.8694,-24.87,97,67,3.56,RU,1678567988
104,waddan,29.1614,16.139,19.2,33,1,1.0,LY,1678567988
105,yarensk,62.1675,49.0916,-8.1,98,99,2.28,RU,1678567988
106,gornopravdinsk,60.05,69.9,-7.39,91,93,5.1,RU,1678567989
107,geraldton,-28.7667,114.6,16.23,94,2,2.57,AU,1678567897
108,oranjemund,-28.55,16.4333,17.22,85,0,7.9,NA,1678567990
109,puerto ayora,-0.7393,-90.3518,29.98,81,51,3.58,EC,1678567990
110,ayagoz,47.9714,80.4392,1.04,78,100,2.19,KZ,1678567991
111,veraval,20.9,70.3667,25.2,41,5,5.78,IN,1678567991
112,havelock,34.8791,-76.9013,13.98,43,0,8.75,US,1678567992
113,noyabrsk,63.1994,75.4507,-9.49,91,100,15.21,RU,1678567993
114,tilichiki,60.4667,166.1,-24.74,91,12,4.24,RU,1678567994
115,castro,-24.7911,-50.0119,18.95,97,100,3.22,BR,1678567994
116,salalah,17.0151,54.0924,26.05,78,0,0.51,OM,1678567995
117,husavik,66.0449,-17.3389,-8.92,80,100,5.5,IS,1678567995
118,kalmunai,7.4167,81.8167,24.46,88,38,2.54,LK,1678567996
119,rudsar,37.1376,50.288,11.99,64,7,3.71,IR,1678567996
120,hami,42.8,93.45,5.66,25,2,4.34,CN,1678567997
121,cranbrook,49.4999,-115.7688,-2.09,50,75,3.6,CA,1678567927
122,mogadishu,2.0371,45.3438,26.33,88,89,8.16,SO,1678567997
123,mahebourg,-20.4081,57.7,26.16,83,75,6.17,MU,1678567998
124,provideniya,64.3833,-173.3,-9.51,94,100,1.15,RU,1678567998
125,jizan,17.3333,42.6667,27.52,64,65,0.96,SA,1678567998
126,new baltimore,42.6811,-82.7369,5.08,60,75,3.6,US,1678567876
127,baoshan,46.5586,131.4244,-2.77,52,100,2.06,CN,1678567999
128,yinchuan,38.4681,106.2731,-1.34,19,0,2.75,CN,1678567999
129,tazovskiy,67.4667,78.7,-9.73,94,100,9.69,RU,1678567845
130,yulara,-25.2406,130.9889,20.63,26,0,3.24,AU,1678568000
131,upernavik,72.7868,-56.1549,-22.21,82,68,2.1,GL,1678567762
132,kloulklubed,7.0419,134.2556,24.28,76,31,4.91,PW,1678568001
133,torata,-17.0769,-70.8433,14.92,83,100,3.18,PE,1678568001
